##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	HG2-24_S4_R2_001.complete.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	6447734
Sequences flagged as poor quality	0
Sequence length	35-40
%GC	55
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1104	9	-0.05360977826389046
1104	10	-0.16029468368276412
1104	11	-0.09918497647606017
1104	12	-0.23236232961568248
1104	13	-0.16139063291988975
1104	14	-0.06420313130089284
1104	15	-0.15559677697528684
1104	16	-0.16386998748507153
1104	17	-0.16044973578488708
1104	18	-0.1773517233805535
1104	19	-0.06823813739492834
1104	20	-0.1641110658909568
1104	21	-0.08906914399147325
1104	22	-0.23604157813941384
1104	23	-0.2078353177769614
1104	24	-0.24029830369655514
1104	25	-0.13887487519401986
1104	26	-0.18144788707364512
1104	27	-0.16761921217202058
1104	28	-0.2683431944044017
1104	29	-0.11712547745320734
1104	30	-0.06242540620159076
1104	31	-0.18192110129811567
1104	32	-0.16680110381989266
1104	33	-0.13479084774453298
1104	34	-0.16621304375490809
1104	35	-0.16297638804043402
1104	36	-0.1308116059843485
1104	37	-0.10313823225354213
1104	38	-0.13783837964538037
1104	39	-0.15086313711406518
1104	40	-0.24731641475694488
1105	1	-0.18067918959475904
1105	2	-0.13798758591528326
1105	3	-0.15335043546769
1105	4	-0.08791926018541218
1105	5	-0.1446770791568639
1105	6	-0.20622441566352023
1105	7	-0.09631702066131709
1105	8	-0.08129836244131639
1105	9	-0.13661306473048285
1105	10	-0.15769035996171255
1105	11	-0.16887197985386138
1105	12	-0.01796702485152224
1105	13	-0.08594002979216953
1105	14	-0.04128755964078579
1105	15	-0.08076961264588078
1105	16	-0.012504978514805032
1105	17	-0.1095866907310139
1105	18	0.031779971214930924
1105	19	-0.07967858324491317
1105	20	-0.0687961785812945
1105	21	-0.127416762332345
1105	22	-0.13511492388434476
1105	23	-0.20124258748249702
1105	24	-0.008336708421843753
1105	25	-0.10861518946037307
1105	26	-0.14220353088634852
1105	27	-0.06867818239584977
1105	28	0.010003323606959214
1105	29	-0.059632943189974696
1105	30	-0.03819670105956163
1105	31	-0.11569170107877369
1105	32	-0.0820345431335312
1105	33	-0.10844853283070677
1105	34	-0.10895939924689912
1105	35	-0.12133467642948403
1105	36	-0.040097382541190996
1105	37	-0.008893606591122705
1105	38	-0.17418522602303455
1105	39	-0.1562168395078487
1105	40	-0.0602843648005944
1106	1	-0.1933469411365678
1106	2	-0.04123655578067087
1106	3	-0.11322900893521393
1106	4	-0.1137238504415592
1106	5	-0.059363638512984096
1106	6	-0.1522842821233752
1106	7	-0.07804646602224352
1106	8	-0.10103239033931288
1106	9	0.02817138750692294
1106	10	-0.07024180937248303
1106	11	0.058854069874612946
1106	12	-0.024087111626243995
1106	13	-0.0597111669927628
1106	14	6.918540986475818E-4
1106	15	-0.10842364943992777
1106	16	0.02520255305606156
